アニメシリーズID,メディア,タイトル,よみがな,開始年月日,終了年月日,放送局／劇場／販売元,原作,uri
ANS000000200,劇場,凸凹新画帳 名案の失敗,デコボコシンガチョウ　メイアンノシッパイ,1917/02,-,-,-,http://mediaarts-db.jp/an/anime_series/1
ANS000000300,劇場,茶目坊新画帳 蚤夫婦仕返しの巻,チャメボウシンガチョウ　ノミフウフシカエシノマキ,1917/04/28,-,浅草キネマ倶楽部,-,http://mediaarts-db.jp/an/anime_series/3
ANS000000400,劇場,猿蟹合戦,サルカニガッセン,1917/05/20,-,-,サルカニ合戦,http://mediaarts-db.jp/an/anime_series/5
ANS000000500,劇場,夢の自動車,ユメノジドウシャ,1917/05,-,-,-,http://mediaarts-db.jp/an/anime_series/7
ANS000000600,劇場,芋川椋三宙返りの巻,イモカワムクゾウチュウガエリノマキ,1917,-,-,-,http://mediaarts-db.jp/an/anime_series/9
ANS000000900,劇場,いたずらポスト,イタズラポスト,1917/07/28,-,-,-,http://mediaarts-db.jp/an/anime_series/11
ANS000001000,劇場,茶目坊空気銃の巻,チャメボウクウキジュウノマキ,1917/08/11,-,浅草帝国館,-,http://mediaarts-db.jp/an/anime_series/13
ANS000001100,劇場,漫画 花咲爺,マンガハナサカジジイ,1928/07,-,-,青地忠三,http://mediaarts-db.jp/an/anime_series/15
ANS000001500,劇場,舌切雀,シタキリスズメ,1923/02/01,-,浅草大東京,-,http://mediaarts-db.jp/an/anime_series/19
ANS000001200,劇場,茶目坊主魚釣の巻,チャメボウサカナツリノマキ,1917/09/09,-,-,-,http://mediaarts-db.jp/an/anime_series/17
ANS000001700,劇場,塙凹内 かっぱまつり,ハナワヘコナイ　カッパマツリ,1917,-,-,-,http://mediaarts-db.jp/an/anime_series/21
ANS000001900,劇場,雪達磨,ユキダルマ,1918/02/15,-,浅草オペラ館,-,http://mediaarts-db.jp/an/anime_series/25
ANS000001800,劇場,浦島太郎,ウラシマタロウ,1931,-,-,-,http://mediaarts-db.jp/an/anime_series/23
ANS000002000,劇場,蛙の夢,カエルノユメ,1918/02/28,-,-,-,http://mediaarts-db.jp/an/anime_series/27
ANS000002100,劇場,お伽噺 日本一 桃太郎,オトギバナシ　ニホンイチ　モモタロウ,1928,-,-,-,http://mediaarts-db.jp/an/anime_series/29
ANS000002300,劇場,瘤取り,コブトリ,1929/10,-,-,青地忠三,http://mediaarts-db.jp/an/anime_series/31
ANS000002800,劇場,教育お伽漫画 兎と亀,ウサギトカメ/ キョウイクオトギマンガウサギトカメ/,1924,-,-,-,http://mediaarts-db.jp/an/anime_series/35
ANS000002700,劇場,太郎の兵隊 潜航艇の巻,タロウノヘイタイ　センコウテイノマキ,1918/08/04,-,-,-,http://mediaarts-db.jp/an/anime_series/33
ANS000003000,劇場,カチカチ山の消防隊,カチカチヤマノショウボウタイ,1948/02,-,松竹,小鯖英一,http://mediaarts-db.jp/an/anime_series/39
ANS000002900,劇場,人気の焦点に立てる後藤新平,ニンキノショウテンニタテルゴトウシンペイ,1924/02,-,-,-,http://mediaarts-db.jp/an/anime_series/37
ANS000003300,劇場,みかん船,ミカンブネ,1927/02/11,-,中央映画配給社,-,http://mediaarts-db.jp/an/anime_series/45
ANS000003100,劇場,馬具田城の盗賊,バグタジョウノトウゾク,1926/07/15,-,中央映画社,-,http://mediaarts-db.jp/an/anime_series/41
ANS000003200,劇場,孫悟空物語,ソンゴクウモノガタリ,1926/10/29,-,中央映画社,-,http://mediaarts-db.jp/an/anime_series/43
ANS000003500,劇場,珍説 吉田御殿（改題/武者修行物語）,チンセツ　ヨシダゴデン　ムシャシュギョウモノガタリ,1928/04/27,-,中央映画社,-,http://mediaarts-db.jp/an/anime_series/49
ANS000003400,劇場,怠け太郎と何にも仙人,ナマケタロウトナンニモセンニン,1926/10/12,-,岩松洋行,-,http://mediaarts-db.jp/an/anime_series/47
ANS000003600,劇場,出世忍者術 松之助再来,シュッセニンジャジュツ　マツノスケサイライ,1928/08/10,-,-,中山呑海,http://mediaarts-db.jp/an/anime_series/51
ANS000003800,劇場,難船ス物語 第壱篇 猿ヶ島,ナンセンスモノガタリ　ダイイッペン　サルガシマ,1931/01,-,-,-,http://mediaarts-db.jp/an/anime_series/55
ANS000003700,劇場,四十人の盗賊,ヨンジュウニンノトウゾク,1928/09/14,-,スターフィルム社,-,http://mediaarts-db.jp/an/anime_series/53
ANS000004000,劇場,ちょん切れ蛇,チョンギレヘビ,1931,-,第一映画社,前川千帆,http://mediaarts-db.jp/an/anime_series/59
ANS000003900,劇場,黒ニャゴ,クロニャゴ,1930/01,-,-,-,http://mediaarts-db.jp/an/anime_series/57
ANS000004300,劇場,力と女の世の中,チカラトオンナノヨノナカ,1933/04/15,-,-,-,http://mediaarts-db.jp/an/anime_series/65
ANS000004100,劇場,難船ス物語 第弐篇 海賊船,ナンセンスモノガタリ　ダイニヘン　カイゾクセン,1931,-,-,清水秀雄,http://mediaarts-db.jp/an/anime_series/61
ANS000004200,劇場,馬鹿八と城主様,バカハチトジョウシュサマ,1931/05/12,-,-,竹内俊一,http://mediaarts-db.jp/an/anime_series/63
ANS000004500,劇場,蛙三勇士,カエルサンユウシ,1933,-,日本音画配給所,-,http://mediaarts-db.jp/an/anime_series/68
ANS000004600,劇場,沼の大将,ヌマノタイショウ,1933,-,三映社,-,http://mediaarts-db.jp/an/anime_series/70
ANS000004800,劇場,動絵狐狸達引,ウゴキエコリノタテヒキ,1933/12/31,-,-,-,http://mediaarts-db.jp/an/anime_series/74
ANS000004700,劇場,お猿三吉 防空戦の巻,オサルサンキチ　ボウクウセンノマキ,1933/10,-,{なし}/東和商事映画部,-,http://mediaarts-db.jp/an/anime_series/72
ANS000004900,劇場,ギャングと踊り子,ギャングトオドリコ,1934/03/21,-,-,-,http://mediaarts-db.jp/an/anime_series/76
ANS000005100,劇場,ポン助の春,ポンスケノハル,1934/06/29,-,-,-,http://mediaarts-db.jp/an/anime_series/80
ANS000005000,劇場,黒猫萬歳,クロネコバンザイ,1934/04,-,-,-,http://mediaarts-db.jp/an/anime_series/78
ANS000005400,劇場,漫画 森の野球団,マンガモリノヤキュウダン,1934/10,-,-,日立二郎,http://mediaarts-db.jp/an/anime_series/84
ANS000005200,劇場,月の宮の王女様,ツキノミヤノオウジョサマ,1934/08,-,-,-,http://mediaarts-db.jp/an/anime_series/82
ANS000005900,劇場,茶釜音頭,チャガマオンド,1934,-,-,-,http://mediaarts-db.jp/an/anime_series/90
ANS000005500,劇場,お猿の三吉 突撃隊,オサルノサンキチ　トツゲキタイ,1934,-,東和商事映画部,-,http://mediaarts-db.jp/an/anime_series/86
ANS000005700,劇場,元禄恋模様 三吉とおさよ,ゲンロクコイモヨウ　サンキチトオサヨ,1934/06,-,東和商事映画部,-,http://mediaarts-db.jp/an/anime_series/88
ANS000006000,劇場,塙団右衛門 化物退治の巻,バンダンエモン　バケモノタイジノマキ,1935,-,-,魔須田和光,http://mediaarts-db.jp/an/anime_series/92
ANS000006100,劇場,蟻と蛙,アリトカエル,1935/09/16,-,-,-,http://mediaarts-db.jp/an/anime_series/94
ANS000006200,劇場,新説カチカチ山（NFCカチカチ山）,シンセツカチカチヤマ,1935,-,-,-,http://mediaarts-db.jp/an/anime_series/96
ANS000006300,劇場,め組の喧嘩,メグミノケンカ,1936,-,-,原案／横田みきよ,http://mediaarts-db.jp/an/anime_series/98
ANS000006500,劇場,ターちゃんの海底旅行,ターチャンノカイテイリョコウ,1934,-,-,-,http://mediaarts-db.jp/an/anime_series/100
ANS000006600,劇場,ターちゃんの怪物退治,ターチャンノカイブツタイジ,1935,-,-,-,http://mediaarts-db.jp/an/anime_series/102
ANS000006700,劇場,森の妖精,モリノヨウセイ,1938/09/01,-,-,-,http://mediaarts-db.jp/an/anime_series/104
ANS000006900,劇場,絵本モモタロウ,エホンモモタロウ,1935,-,-,-,http://mediaarts-db.jp/an/anime_series/106
ANS000007100,劇場,ポンポコ武勇伝,ポンポコブユウデン,1934,-,-,-,http://mediaarts-db.jp/an/anime_series/110
ANS000007000,劇場,忍術火の玉小僧 江戸の巻,ニンジュツヒノタマコゾウ　エドノマキ,1934/11/09,-,日活配給,-,http://mediaarts-db.jp/an/anime_series/108
ANS000007400,劇場,小鳥と兎,コトリトウサギ,1936,-,-,-,http://mediaarts-db.jp/an/anime_series/114
ANS000007300,劇場,マー坊の東京オリンピック大會,マーボウノトウキョウオリンピックタイカイ,1936,-,-,-,http://mediaarts-db.jp/an/anime_series/112
ANS000007500,劇場,日の丸太郎 武者修行,ヒノマルタロウ　ムシャシュギョウ,1936,-,-,-,http://mediaarts-db.jp/an/anime_series/116
ANS000007800,劇場,空の上海戦線 ニュースマンガ 支那事変拾う第二集,ソラノシャンハイセンセン　ニュースマンガ　シナジヘンヒロウダイニシュウ,1938/01,-,三映社,-,http://mediaarts-db.jp/an/anime_series/120
ANS000007700,劇場,マー坊の少年航空兵,マーボウノショウネンコウクウヘイ,1937,-,-,-,http://mediaarts-db.jp/an/anime_series/118
ANS000007900,劇場,爆弾二将校 ニュースマンガ 支那事変に拾う第一集,バクダンニショウコウ　ニュースマンガ　シナジヘンニヒロウダイイッシュウ,1938,-,三映社,-,http://mediaarts-db.jp/an/anime_series/122
ANS000008000,劇場,マー坊の大陸秘境探検 （マー坊の珍道中）,マーボウノタイリクヒキョウタンケン,1938,-,-,-,http://mediaarts-db.jp/an/anime_series/124
ANS000008300,劇場,非常時学校,ヒジョウジガッコウ,1939,-,-,-,http://mediaarts-db.jp/an/anime_series/130
ANS000008100,劇場,マー坊の木下藤吉郎,マーボウノキノシタトウキチロウ,1938,-,-,-,http://mediaarts-db.jp/an/anime_series/126
ANS000008200,劇場,荒鷲,アラワシ,1938,-,-,-,http://mediaarts-db.jp/an/anime_series/128
ANS000008400,劇場,森のお医者と白衣の勇士,モリノオイシャトハクイノユウシ,1943,-,-,-,http://mediaarts-db.jp/an/anime_series/132
ANS000008700,劇場,新猿蟹合戦,シンサルカニガッセン,1939,-,奥商会教育映画部[提供],-,http://mediaarts-db.jp/an/anime_series/134
ANS000008900,劇場,ニャンの浦島,ニャンノウラシマ,1939/05/30,-,日本短篇映画社,-,http://mediaarts-db.jp/an/anime_series/138
ANS000009000,劇場,べんけい対ウシワカ,ベンケイタイウシワカ,1939/07,-,日本短篇映画社,-,http://mediaarts-db.jp/an/anime_series/140
ANS000008800,劇場,奴の凧平 お供は強いね,ヤッコノタコベエ　オトモハツヨイネ,1939/07/22,-,-,-,http://mediaarts-db.jp/an/anime_series/136
ANS000009100,劇場,黄金の鈎,オウゴンノハリ,1939/11/02,-,-,-,http://mediaarts-db.jp/an/anime_series/142
ANS000009200,劇場,カチカチ山,カチカチヤマ,1940/01/05,-,-,-,http://mediaarts-db.jp/an/anime_series/144
ANS000009400,劇場,夢の魔術師,ユメミドウシ,1940/11/14,-,-,-,http://mediaarts-db.jp/an/anime_series/149
